A
MYPA003	Bunyip	Swamp Thing	Paleontology	Paleontology Mythic Cards	Mythic	Standard	
PAN013	Titanoboa	Slither	Paleontology	Ancient Creatures	Rare	Limited	
10	78						
Play	Cible	player hand	Collection	Reptiles			
	Effet	power	15				
	Duree	turn	1				

PAN022	Toxodon	Bow Tooth	Paleontology	Ancient Creatures	Common	Limited	
9	79						
Return	Condition	player deck	Album	Paleontology	>	8	
	Cible	player					
	Effet	power per turn	25				
	Duree	Round	1				

PAN027	Waimanu	Water Bird	Paleontology	Ancient Creatures	Legendary	Limited	
7	69						
Play	Cible	player hand	Collection	Birds			
	Cible	player hand	Collection	Sea Birds			
	Effet	power	12				
	Duree	turn	2				
Return	Cible	player remaining	Collection	Birds			
	Cible	player remaining	Collection	Sea Birds			
	Effet	cost	-1				
	Duree	permanently					

PAN015	Woolly Mammoth	Mammoth Undertaking	Paleontology	Ancient Creatures	Legendary	Limited	
8	83	2020					
Play	Cible	player deck	Collection	Ancient Creatures			
	Filtre	base_power	>	59			
	Effet	power	24				
	Duree	until played					
Return	Cible	player deck	Collection	Ancient Creatures			
	Effet	cost	-1				
	Duree	turn	2				

PAN053	Xenokeryx Amidalae	Princess	Paleontology	Ancient Creatures	Rare	Limited	
6	52						
Play	Condition	voisin	next to	collection	Once Upon A Time		
	Cible	player deck	Album	Paleontology			
	Filtre	random	4				
	Effet	power	24				
	Duree	until played					

PCA043	Acheroraptor	Terrestrial Wing	Paleontology	Carnivores	Legendary	Limited	
8	73						
Play	Condition	voisin	next to	album	Life on Land		
	Cible	player deck	Collection	Fearsome Flyers			
	Effet	power	24				
	Duree	until played					

PCA023	Acrocanthosaurus	Grow a Spine	Paleontology	Carnivores	Legendary	Standard	
4	16	2020					
Play	Cible	player hand	Album	Paleontology			
	Effet	power	20				
	Duree	Round	1				
Play	Condition	player deck	Album	Paleontology	=	18	
	Cible	player hand	Album	Paleontology			
	Effet	power	15				
	Duree	Round	1				

PCA046	Albertonykus	Good Grub	Paleontology	Carnivores	Common	Standard	
5	42						
Play	Cible	self					
	Effet	power	5				
	Multiplicateur	player deck	Collection	Bugs			
	Duree	turn	1				

PCA002	Albertosaurus		Paleontology	Carnivores	Common	Standard	
8	72	2019					

PCA001	Allosaurus	Different Lizard	Paleontology	Carnivores	Common	Fusion ingredient	
3	26	2019					
Play	Cible	player hand	Collection	Reptiles			
	Effet	power	10				
	Duree	turn	2				

PCA026	Arcovenator	Hunt Down	Paleontology	Carnivores	Epic	Limited	
6	76						
Return	Condition	turn score	>	0			
	Cible	opponent					
	Effet	energy per turn	-2				
	Duree	turn	2				
Return	Condition	turn score	<	0			
	Cible	opponent					
	Effet	energy per turn	1				
	Duree	turn	2				

PCA036	Aucasaurus	That Auc-ward Moment	Paleontology	Carnivores	Legendary	Standard	
6	63						
Return	Cible	both remaining					
	Effet	power	-50				
	Duree	turn	2				
Return	Condition	round score	<	0			
	Cible	player remaining					
	Effet	power	50				
	Duree	turn	2				

PCA034	Bambiraptor	Great Prince of the Forest	Paleontology	Carnivores	Rare	Limited	
4	34						
Play	Condition	arena	Paleontology				
	Cible	player deck	Album	Life on Land			
	Effet	power	20				
	Duree	Round	1				

PCA047	Bannykus	Transitional Characteristics	Paleontology	Carnivores	Rare	Limited	
8	76						
Return	Condition	player deck	Album	any	=	9	
	Cible	player deck	Album	any			
	Afiltre	Limited					
	Effet	power	10				
	Duree	until played					

PCA017	Baryonyx	Heavy Claw	Paleontology	Carnivores	Legendary	Limited	
8	73	2020					
Play	Cible	opponent hand					
	Effet	power	-25				
	Duree	turn	1				
Play	Condition	arena	Paleontology				
	Cible	opponent hand					
	Effet	power	-35				
	Duree	turn	1				

PCA025	Big Al	Keep it Together	Paleontology	Carnivores	Legendary	Limited	
6	52	2020					
Draw	Cible	player hand	Collection	Carnivores			
	Effet	power	20				
	Duree	until played					
Return	Condition	round score	>	0			
	Cible	player remaining	Collection	Carnivores			
	Effet	power	20				
	Duree	permanently					

PCA019	Carcharodontosaurus	Jagged Edge	Paleontology	Carnivores	Epic	Fusion ingredient	
9	81	2020					
Return	Condition	turn score	<	0			
	Cible	opponent					
	Effet	power per turn	-50				
	turn	2					

PCA012	Carnotaurus	Headstrong	Paleontology	Carnivores	Epic	Fusion ingredient	
4	70	2019					
Play	Cible	player					
	Effet	energy per turn	-1				
	Duree	Round	1				

PCA018	Ceratosaurus	Horn Section	Paleontology	Carnivores	Rare	Standard	
5	45	2020					
Play	Cible	player hand	Name	Carnotaurus			
	Effet	power	25				
	Duree	turn	1				

PCA020	Coelophysis	Hollow Threats	Paleontology	Carnivores	Rare	Standard	
4	35	2020					
Play	Cible	opponent hand					
	Effet	power	-8				
	Duree	turn	2				

PCA016	Compsognathus	Compy-tition	Paleontology	Carnivores	Epic	Fusion ingredient	
3	27	2020					
Play	Cible	opponent hand					
	Effet	power	-5				
	Duree	Round	1				

PCA006	Cryolophosaurus		Paleontology	Carnivores	Common	Fusion ingredient	
1	9	2019					

PCA035	Daspletosaurus	Shred	Paleontology	Carnivores	Rare	Standard	
8	73						
Draw	Cible	opponent hand					
	Filtre	random	1				
	Effet	power	-20				
	Duree	turn	2				
Play	Cible	voisin	oppose				
	Effet	power	-15				
	Duree	turn	1				

PCA011	Deinonychus		Paleontology	Carnivores	Common	Fusion ingredient	
9	73	2019					

PCA033	Dilong	Emperor Dragon	Paleontology	Carnivores	Epic	Limited	
6	60						
Return	Cible	both remaining					
	Filtre	keyword	Emperor				
	Effet	lock					
	Duree	turn	3				
Return	Cible	player deck	Collection	Mythical Creatures			
	Effet	power	15				
	Duree	Round	1				

PCA004	Dilophosaurus	Dial-a-Phosaurus	Paleontology	Carnivores	Common	Fusion ingredient	
6	51	2019					
Play	Condition	player played	Name	Dreyfuss Model 500			
	Cible	self					
	Effet	power	30				
	Duree	turn	1				

PCA008	Dimetrodon		Paleontology	Carnivores	Common	Fusion ingredient	
8	67	2019					

PCA015	Giganotosaurus	Dino Hunter	Paleontology	Carnivores	Fusion	Fusion ingredient	
3	34	2019					
Play	Cible	opponent deck	Album	Paleontology			
	Effet	power	-20				
	Duree	Round	1				

PCA009	Gorgosaurus	Evil Dread	Paleontology	Carnivores	Common	Fusion ingredient	
6	58	2019					
Return	Cible	opponent					
	Effet	energy per turn	-2				
	Duree	turn	2				

PCA032	Irritator	Semiaquatic	Paleontology	Carnivores	Rare	Standard	
4	26						
Play	Cible	player deck	Collection	Raging Rivers			
	Effet	power	18				
	Duree	turn	2				
Play	Cible	player deck	Collection	Ocean Reptiles			
	Effet	power	18				
	Duree	turn	2				

PCA022	Majungasaurus	Skullduggery	Paleontology	Carnivores	Rare	Standard	
4	65	2020					
Draw	Cible	self					
	Effet	lock					
	Duree	turn	2				

PCA029	Mapusaurus	Put Them on the Map	Paleontology	Carnivores	Epic	Limited	
8	70						
Play	Cible	player deck	Album	Paleontology			
	Effet	power	13				
	Duree	until played					
Return	Condition	turn score	>	0			
	Cible	player deck	Album	Paleontology			
	Effet	power	5				
	Duree	permanently					

PCA030	Megalosaurus	Megalomania	Paleontology	Carnivores	Epic	Limited	
8	68	Mega Paleontology					
Draw	Cible	player hand	Album	Paleontology			
	Filtre	random	1				
	Effet	power	40				
	Duree	until played					

PCA031	Megaraptor	Toe in the Slaughter	Paleontology	Carnivores	Legendary	Limited	
5	37	Mega Paleontology					
Return	Cible	player deck	Collection	Herbivores			
	Cible	player deck	Collection	Omnivores			
	Effet	power	21				
	Duree	until played					
Return	Cible	player deck	Collection	Herbivores			
	Cible	player deck	Collection	Omnivores			
	Effet	cost	-1				
	Duree	until played					

PCA042	Nanuqsaurus	Climatic Extremes	Paleontology	Carnivores	Legendary	Limited	
6	60						
Play	Condition	voisin	gauche	collection	Ice Age		
	Condition	voisin	droite	collection	Ice Age		
	Cible	player deck	Album	Paleontology			
	Filtre	random	6				
	Effet	power	24				
	Duree	until played					

PCA044	Ornithosuchus	Quackodile	Paleontology	Carnivores	Epic	Standard	
6	52						
Play	Condition	player deck	Collection	Birds	>	0	
	Condition	player deck	Collection	Reptiles	>	0	
	Cible	player deck	Collection	Carnivores			
	Effet	power	15				
	Duree	until played					

PCA045	Oxalaia	Spino-Siblings	Paleontology	Carnivores	Epic	Fusion ingredient	
7	60						
Play	Condition	voisin	next to	Name	Spinosaurus		
	Cible	player deck	Collection	Carnivores			
	Effet	power	15				
	Duree	Round	1				

PCA024	Postosuchus	What a Croc	Paleontology	Carnivores	Epic	Fusion ingredient	
2	20	2020					
Play	Cible	player hand	Name	American Crocodile			
	Cible	player hand	Name	Saltwater Crocodile			
	Cible	player hand	Name	Mugger Crocodile			
	Effet	power	25				
	Duree	turn	1				

PCA040	Pyroraptor	Fire Thieves	Paleontology	Carnivores	Legendary	Fusion ingredient	
7	70						
Play	Condition	voisin	next to	Name	Prometheus		
	Cible	self					
	Cible	player hand	Name	Prometheus			
	Effet	power	40				
	Duree	turn	1				

PCA048	Qianzhousaurus	Pinocchio Rex	Paleontology	Carnivores	Epic	Limited	
8	75						
Draw	Cible	player deck	Collection	Once Upon A Time			
	Cible	player deck	Collection	Fiction and Fantasy			
	Effet	power	15				
	Duree	until played					
Play	Cible	player deck	Name	Pinocchio			
	Effet	power	15				
	Duree	permanently					

PCA027	Rajasaurus	Princely Sum	Paleontology	Carnivores	Epic	Limited	
6	54						
Draw	Cible	player					
	Effet	energy	3				
Draw	Cible	both hand					
	Effet	cost	1				
	Duree	turn	1				

PCA007	Saurophaganax	Apex Attack	Paleontology	Carnivores	Common	Fusion ingredient	
3	45	2019					
Play	Cible	both hand	Album	Paleontology			
	Effet	power	-10				
	turn	1					

PCA037	Shuvuuia	Mouth Off	Paleontology	Carnivores	Epic	Standard	
4	39						
Return	Condition	turn score	<	0			
	Cible	opponent hand					
	Filtre	random	2				
	Effet	burn	30				
	Duree	turn	4				

PCA039	Siamotyrannus	Tyrant	Paleontology	Carnivores	Epic	Limited	
6	45						
Return	Cible	player hand	Collection	Carnivores			
	Filtre	random	1				
	Effet	power	50				
	Duree	until played					

PCA038	Sinocalliopteryx	Feeding Time	Paleontology	Carnivores	Epic	Limited	
6	65						
Return	Condition	turn score	>	0			
	Cible	player					
	Effet	energy	5				

PCA013	Spinosaurus	The Greatest	Paleontology	Carnivores	Rare	Standard	
6	60	2019					
Draw	Cible	player					
	Effet	power per turn	6				
	Duree	permanently					
Return	Cible	player					
	Effet	power per turn	-6				
	Duree	permanently					

PCA014	Tarbosaurus		Paleontology	Carnivores	Common	Fusion ingredient	
7	60	2019					

PCA041	Thanos Simonattoi	Snap!	Paleontology	Carnivores	Legendary	Standard	
6	60						
Play	Condition	voisin	gauche	collection	Hidden Gems		
	Condition	voisin	droite	collection	Hidden Gems		
	Cible	player deck					
	Filtre	random	9				
	Effet	power	20				
	Duree	turn	3				
Play	Condition	voisin	gauche	collection	Hidden Gems		
	Condition	voisin	droite	collection	Hidden Gems		
	Cible	opponent deck					
	Filtre	random	9				
	Effet	power	-10				
	Duree	turn	3				

PCA021	Torvosaurus	Strongarm	Paleontology	Carnivores	Rare	Standard	
7	61	2020					
Play	Cible	both hand					
	Filtre	base_power	<	61			
	Effet	power	-20				
	Duree	turn	1				

PCA005	Tyrannosaurus Rex	Jaws of Terror	Paleontology	Carnivores	Legendary	Level-up reward	
5	54	2019					
Play	Condition	round score	>	0			
	Cible	self					
	Effet	power	40				
	Duree	permanently					

PCA010	Utahraptor		Paleontology	Carnivores	Common	Standard	
2	18	2019					

PCA003	Velociraptor	Vicious Claw	Paleontology	Carnivores	Rare	Fusion ingredient	
7	65	2019					
Play	Cible	opponent					
	Effet	power per turn	-12				
	Duree	Round	1				

PEV003	Ammonite	Fossil Fuelled	Paleontology	Paleontology Specials	Epic	Limited	
4	40						
Play	Cible	player hand	Name	Trilobite			
	Effet	power	35				
	Duree	turn	1				
Return	Cible	self					
	Effet	cost	1				
	Duree	until played					

PEV001	Dinosaur Eggs	Eggs In One Basket	Paleontology	Paleontology Specials	Epic	Fusion ingredient	
2	18	Egg	2020				
Play	Cible	player hand	Name	Egg Nebula			
	Effet	power	40				
	Duree	turn	1				

PEV002	Pangea	One World	Paleontology	Paleontology Specials	Rare	Limited	
5	48						
Draw	Cible	player hand	Album	Paleontology			
	Filtre	random	1				
	Effet	power	36				
	Duree	until played					
Draw	Cible	player hand	Album	Life on Land			
	Filtre	random	1				
	Effet	power	36				
	Duree	until played					

PEV004	Trilobite	Fossil Fuelled	Paleontology	Paleontology Specials	Epic	Limited	
4	45						
Play	Cible	player hand	Name	Ammonite			
	Effet	power	40				
	Duree	turn	1				
Return	Cible	self					
	Effet	cost	1				
	Duree	until played					

PFF036	Amblydectes	Ambyldextrous	Paleontology	Fearsome Flyers	Rare	Limited	
5	49						
Play	Condition	placement	gauche				
	Cible	player hand	Collection	Fearsome Flyers			
	Effet	power	18				
	Duree	until played					
Play	Condition	placement	droite				
	Cible	player deck	Collection	Fearsome Flyers			
	Effet	power	7				
	Duree	until played					

PFF018	Anchiornis	Anchi-Panky	Paleontology	Fearsome Flyers	Rare	Limited	
2	22	2020					
Play	Cible	player hand	Name	Anchisaurus			
	Effet	power	36				
	Duree	turn	1				

PFF002	Anhanguera	hanguera Pangs	Paleontology	Fearsome Flyers	Common	Limited	
4	30	2020					
Draw	Cible	player					
	Effet	energy	1				

PFF030	Anurognathus	Tiny Terrors	Paleontology	Fearsome Flyers	Rare	Limited	
3	16						
Draw	Cible	player deck	Album	Paleontology			
	Filtre	base_cost	<	4			
	Effet	power	15				
	Duree	Round	1				

PFF041	Argentavis	Real Big Bird	Paleontology	Fearsome Flyers	Rare	Limited	
3	25						
Play	Cible	self					
	Effet	power	75				
	Duree	permanently					
Play	Cible	self					
	Effet	power	-15				
	Multiplicateur	player hand	Collection	Fearsome Flyers			
	Duree	permanently					

PFF039	Azhdarcho	Toothless Dragon	Paleontology	Fearsome Flyers	Epic	Limited	
8	75						
Play	Cible	player deck	Collection	Winged Mythical Creatures			
	Effet	power	3				
	Multiplicateur	player deck	Collection	Fearsome Flyers	12		
	Duree	until played					

PFF027	Caihong Juji	Rainbow Crest	Paleontology	Fearsome Flyers	Legendary	Limited	
5	52						
Draw	Condition	player deck	Album	Paleontology	>	2	
	Cible	player deck	Collection	Unruly Rulers			
	Effet	power	20				
	Duree	turn	2				
Draw	Condition	player deck	Album	Life on Land	>	2	
	Cible	player deck	Collection	Unruly Rulers			
	Effet	power	20				
	Duree	turn	2				
Draw	Condition	player deck	Album	Science	>	2	
	Cible	player deck	Collection	Unruly Rulers			
	Effet	power	20				
	Duree	turn	2				

PFF023	Confuciusornis	Confuciusornism	Paleontology	Fearsome Flyers	Legendary	Limited	
5	51						
Return	Cible	player deck	Collection	Philosophy			
	Effet	power	18				
	Duree	until played					
Return	Condition	player played	Name	Confucius			
	Cible	player deck	Collection	Philosophy			
	Effet	power	16				
	Duree	until played					

PFF013	Cryodrakon	Cry Some More	Paleontology	Fearsome Flyers	Epic	Limited	
5	55	2020					
Play	Condition	arena	Paleontology				
	Cible	self					
	Effet	power	55				
	Duree	turn	1				

PFF034	Cygnus Falconeri	Swan About	Paleontology	Fearsome Flyers	Rare	Limited	
6	58						
Play	Cible	player hand					
	Filtre	random	1				
	Effet	power	20				
	Duree	until played					
Play	Cible	opponent hand					
	Filtre	random	1				
	Effet	power	-20				
	Duree	until played					

PFF040	Darwinopterus	Darwin's Wing	Paleontology	Fearsome Flyers	Epic	Limited	
7	57						
Play	Cible	player deck	Collection	Fearsome Flyers			
	Effet	power	16				
	Duree	until played					

PFF038	Dawndraco	Dragon of the Dawn	Paleontology	Fearsome Flyers	Legendary	Limited	
5	45						
Draw	Condition	player played	Collection	Winged Mythical Creatures	>	0	
	Cible	player deck	Album	Paleontology			
	Effet	power	17				
	Duree	until played					

PFF031	Dearc	Detriomphe	Paleontology	Fearsome Flyers	Epic	Limited	
7	62						
Play	Condition	player deck	Collection	Fearsome Flyers	>	7	
	Cible	player deck	Collection	Fearsome Flyers			
	Effet	power	17				
	Duree	until played					

PFF009	Dimorphodon	Tooth Hurts	Paleontology	Fearsome Flyers	Epic	Limited	
3	27	2020					
Play	Cible	player hand	Collection	Carnivores			
	Effet	power	25				
	Duree	turn	1				

PFF006	Dorygnathus		Paleontology	Fearsome Flyers	Common	Limited	
5	41	2020					

PFF015	Dsungaripterus	Short Bursts	Paleontology	Fearsome Flyers	Common	Limited	
2	40	2020					
Draw	Cible	self					
	Effet	power	-15				
	Duree	permanently					

